Contract,tenure,InternetService,OnlineSecurity,TechSupport,MonthlyCharges,PaymentMethod,PaperlessBilling,Churn
Month-to-month,1,Fiber optic,No,No,90.85,Credit card (automatic),Yes,Yes
Two year,48,Fiber optic,No,No,108.1,Bank transfer (automatic),Yes,No
Month-to-month,11,No,No internet service,No internet service,19.95,Mailed check,No,Yes
Month-to-month,55,Fiber optic,No,No,85.45,Electronic check,Yes,Yes
One year,42,DSL,Yes,Yes,54.75,Electronic check,Yes,No
Month-to-month,44,Fiber optic,No,No,90.4,Mailed check,Yes,No
Month-to-month,1,DSL,No,No,44.0,Electronic check,No,No
Month-to-month,27,Fiber optic,No,No,95.6,Bank transfer (automatic),Yes,No
Month-to-month,27,DSL,No,Yes,84.8,Bank transfer (automatic),Yes,No
Month-to-month,2,DSL,No,No,44.3,Electronic check,Yes,No
Month-to-month,19,No,No internet service,No internet service,19.9,Mailed check,No,No
Month-to-month,42,Fiber optic,No,No,95.05,Electronic check,Yes,No
Two year,66,DSL,Yes,Yes,90.05,Credit card (automatic),Yes,No
Month-to-month,33,Fiber optic,Yes,Yes,109.9,Bank transfer (automatic),Yes,No
Month-to-month,34,Fiber optic,No,No,73.95,Credit card (automatic),Yes,Yes
Month-to-month,33,DSL,No,Yes,54.6,Electronic check,Yes,No
One year,23,No,No internet service,No internet service,20.05,Mailed check,No,No
One year,32,No,No internet service,No internet service,19.75,Bank transfer (automatic),No,No
One year,11,No,No internet service,No internet service,20.05,Credit card (automatic),No,No
Month-to-month,69,Fiber optic,No,No,99.45,Credit card (automatic),Yes,Yes
One year,68,DSL,Yes,Yes,55.9,Bank transfer (automatic),No,No
Two year,20,No,No internet service,No internet service,19.7,Mailed check,Yes,No
Two year,72,No,No internet service,No internet service,19.8,Credit card (automatic),Yes,No
One year,60,Fiber optic,Yes,No,95.4,Bank transfer (automatic),Yes,No
Month-to-month,32,Fiber optic,No,No,93.95,Mailed check,Yes,No
Month-to-month,1,No,No internet service,No internet service,19.9,Mailed check,Yes,Yes
Month-to-month,1,No,No internet service,No internet service,19.6,Mailed check,Yes,Yes
Month-to-month,3,Fiber optic,No,No,81.35,Electronic check,Yes,Yes
One year,46,No,No internet service,No internet service,24.45,Bank transfer (automatic),Yes,No
Month-to-month,29,Fiber optic,No,No,74.95,Electronic check,Yes,No
Month-to-month,51,Fiber optic,No,Yes,87.35,Electronic check,Yes,No
Month-to-month,48,Fiber optic,No,No,70.65,Bank transfer (automatic),Yes,No
Month-to-month,16,Fiber optic,No,No,73.25,Bank transfer (automatic),No,No
Two year,70,Fiber optic,No,Yes,98.7,Bank transfer (automatic),Yes,No
Two year,40,No,No internet service,No internet service,24.8,Mailed check,Yes,No
Month-to-month,22,Fiber optic,No,No,83.3,Electronic check,No,Yes
Month-to-month,1,Fiber optic,No,No,75.3,Bank transfer (automatic),Yes,Yes
Month-to-month,5,No,No internet service,No internet service,24.3,Mailed check,Yes,No
Month-to-month,7,Fiber optic,No,No,69.85,Bank transfer (automatic),Yes,No
One year,29,Fiber optic,No,Yes,100.55,Credit card (automatic),No,No
One year,44,No,No internet service,No internet service,25.7,Mailed check,No,No
Month-to-month,10,DSL,Yes,No,40.7,Bank transfer (automatic),No,No
Month-to-month,55,DSL,No,No,51.65,Bank transfer (automatic),No,No
One year,52,Fiber optic,No,No,105.1,Bank transfer (automatic),Yes,No
Month-to-month,10,Fiber optic,No,No,85.95,Electronic check,No,No
Month-to-month,18,Fiber optic,No,No,75.6,Bank transfer (automatic),Yes,No
One year,68,DSL,Yes,Yes,58.25,Bank transfer (automatic),No,No
Month-to-month,61,No,No internet service,No internet service,19.4,Mailed check,Yes,Yes
Two year,72,DSL,Yes,Yes,65.2,Credit card (automatic),Yes,No
Month-to-month,2,DSL,Yes,No,53.45,Electronic check,No,No
Month-to-month,12,DSL,No,No,45.4,Bank transfer (automatic),Yes,Yes
Two year,41,No,No internet service,No internet service,19.75,Electronic check,Yes,No
Month-to-month,26,DSL,No,Yes,44.45,Credit card (automatic),Yes,No
One year,36,No,No internet service,No internet service,20.85,Bank transfer (automatic),No,No
Two year,72,Fiber optic,Yes,Yes,114.05,Credit card (automatic),Yes,No
Month-to-month,35,Fiber optic,No,Yes,89.85,Bank transfer (automatic),Yes,No
Month-to-month,1,DSL,No,Yes,55.05,Mailed check,No,No
Month-to-month,16,Fiber optic,Yes,Yes,112.95,Electronic check,Yes,No
Month-to-month,49,Fiber optic,Yes,No,101.55,Credit card (automatic),No,No
One year,54,Fiber optic,Yes,Yes,114.65,Mailed check,Yes,No
Month-to-month,18,DSL,Yes,No,64.8,Electronic check,No,No
Month-to-month,36,Fiber optic,No,No,80.4,Electronic check,No,No
Month-to-month,60,Fiber optic,No,No,105.9,Electronic check,Yes,Yes
Month-to-month,1,Fiber optic,No,No,69.55,Mailed check,No,Yes
Two year,52,No,No internet service,No internet service,25.05,Bank transfer (automatic),Yes,No
Month-to-month,8,Fiber optic,No,No,94.75,Electronic check,Yes,No
Two year,72,Fiber optic,Yes,Yes,105.5,Bank transfer (automatic),No,No
One year,64,No,No internet service,No internet service,24.7,Mailed check,No,No
Month-to-month,22,DSL,Yes,Yes,69.75,Mailed check,Yes,No
Month-to-month,60,DSL,No,Yes,60.2,Bank transfer (automatic),Yes,No
Month-to-month,28,Fiber optic,No,No,81.05,Electronic check,Yes,Yes
Two year,61,No,No internet service,No internet service,24.4,Mailed check,No,No
Month-to-month,24,Fiber optic,No,No,104.15,Electronic check,Yes,No
One year,28,Fiber optic,No,Yes,92.9,Bank transfer (automatic),No,No
Two year,30,DSL,No,Yes,80.8,Bank transfer (automatic),No,No
Month-to-month,2,No,No internet service,No internet service,20.0,Mailed check,No,No
Month-to-month,1,Fiber optic,No,No,75.1,Electronic check,Yes,No
Month-to-month,6,No,No internet service,No internet service,19.65,Mailed check,No,No
Month-to-month,24,DSL,No,No,69.45,Bank transfer (automatic),Yes,No
Month-to-month,4,Fiber optic,No,No,101.15,Electronic check,No,Yes
Month-to-month,7,Fiber optic,No,No,99.8,Electronic check,Yes,Yes
Two year,72,Fiber optic,Yes,Yes,116.05,Bank transfer (automatic),Yes,No
Two year,70,DSL,No,Yes,40.05,Mailed check,Yes,No
Two year,64,Fiber optic,No,Yes,102.1,Electronic check,No,No
One year,72,Fiber optic,No,No,89.7,Electronic check,Yes,No
Two year,44,No,No internet service,No internet service,19.9,Mailed check,No,No
Month-to-month,13,DSL,No,No,55.95,Electronic check,No,Yes
One year,17,No,No internet service,No internet service,20.65,Mailed check,No,No
Month-to-month,1,DSL,No,No,55.0,Electronic check,Yes,Yes
Month-to-month,9,DSL,No,No,70.05,Mailed check,Yes,No
Month-to-month,24,DSL,Yes,Yes,53.6,Mailed check,No,No
Month-to-month,1,Fiber optic,No,No,74.7,Electronic check,Yes,Yes
Month-to-month,24,Fiber optic,No,No,80.25,Electronic check,Yes,Yes
Month-to-month,35,DSL,No,Yes,76.05,Electronic check,Yes,No
Month-to-month,7,DSL,Yes,Yes,75.7,Electronic check,Yes,No
Month-to-month,5,Fiber optic,No,Yes,96.1,Electronic check,Yes,Yes
Month-to-month,15,Fiber optic,No,No,69.0,Bank transfer (automatic),No,Yes
Two year,11,No,No internet service,No internet service,19.65,Mailed check,No,No
Month-to-month,48,DSL,Yes,No,45.3,Bank transfer (automatic),Yes,Yes
Month-to-month,20,Fiber optic,No,No,81.45,Electronic check,Yes,No
One year,72,Fiber optic,No,Yes,108.5,Bank transfer (automatic),Yes,No
Month-to-month,8,Fiber optic,No,No,83.55,Electronic check,Yes,Yes
Two year,72,Fiber optic,No,No,84.5,Credit card (automatic),Yes,No
Month-to-month,15,Fiber optic,No,No,100.15,Electronic check,Yes,No
Two year,72,DSL,No,Yes,88.6,Bank transfer (automatic),Yes,No
Month-to-month,1,Fiber optic,No,No,74.35,Electronic check,Yes,Yes
Two year,63,Fiber optic,No,No,104.8,Bank transfer (automatic),Yes,No
Month-to-month,2,DSL,No,No,59.0,Electronic check,Yes,No
Month-to-month,2,Fiber optic,Yes,No,74.4,Electronic check,Yes,Yes
One year,61,DSL,No,No,64.05,Bank transfer (automatic),No,No
Month-to-month,1,No,No internet service,No internet service,20.4,Mailed check,No,No
One year,22,DSL,No,No,43.75,Bank transfer (automatic),Yes,Yes
Month-to-month,28,DSL,Yes,Yes,60.9,Mailed check,No,No
Two year,70,No,No internet service,No internet service,19.8,Bank transfer (automatic),No,No
Month-to-month,5,DSL,No,No,28.45,Electronic check,No,Yes
Month-to-month,12,Fiber optic,Yes,No,99.7,Bank transfer (automatic),Yes,Yes
One year,34,Fiber optic,Yes,Yes,116.25,Credit card (automatic),No,No
Two year,71,Fiber optic,Yes,No,80.7,Credit card (automatic),Yes,No
One year,70,DSL,Yes,No,65.2,Bank transfer (automatic),No,No
Month-to-month,52,Fiber optic,Yes,Yes,84.05,Bank transfer (automatic),Yes,No
Two year,69,DSL,Yes,Yes,79.45,Credit card (automatic),Yes,No
Month-to-month,20,Fiber optic,No,No,94.1,Electronic check,Yes,Yes
Month-to-month,11,Fiber optic,No,No,78.0,Mailed check,Yes,No
Month-to-month,2,Fiber optic,No,Yes,94.2,Electronic check,Yes,Yes
Month-to-month,6,Fiber optic,No,Yes,80.5,Electronic check,Yes,Yes
Month-to-month,1,No,No internet service,No internet service,19.85,Mailed check,No,No
One year,20,Fiber optic,Yes,Yes,94.3,Credit card (automatic),No,No
Month-to-month,61,Fiber optic,Yes,No,106.45,Electronic check,Yes,No
Month-to-month,5,Fiber optic,No,No,74.35,Electronic check,Yes,Yes
Month-to-month,56,Fiber optic,No,Yes,105.45,Bank transfer (automatic),Yes,No
Month-to-month,30,Fiber optic,Yes,Yes,95.0,Credit card (automatic),Yes,No
Month-to-month,40,Fiber optic,No,Yes,104.8,Bank transfer (automatic),No,Yes
One year,28,DSL,Yes,Yes,54.3,Mailed check,No,No
Month-to-month,5,Fiber optic,No,No,70.05,Electronic check,No,No
Month-to-month,27,Fiber optic,Yes,No,75.2,Bank transfer (automatic),Yes,Yes
Month-to-month,12,No,No internet service,No internet service,20.05,Credit card (automatic),No,No
One year,67,Fiber optic,No,No,105.4,Electronic check,Yes,No
Month-to-month,29,DSL,No,No,51.6,Electronic check,Yes,No
Month-to-month,55,Fiber optic,No,No,85.5,Bank transfer (automatic),No,No
Month-to-month,23,Fiber optic,No,No,75.6,Bank transfer (automatic),No,Yes
Month-to-month,34,Fiber optic,No,No,100.05,Electronic check,Yes,Yes
One year,52,Fiber optic,Yes,No,91.25,Electronic check,No,No
Two year,72,Fiber optic,Yes,Yes,115.75,Credit card (automatic),Yes,No
One year,58,Fiber optic,No,Yes,94.7,Credit card (automatic),Yes,No
Two year,35,No,No internet service,No internet service,19.6,Mailed check,No,No
Two year,56,Fiber optic,No,Yes,99.9,Bank transfer (automatic),Yes,No
Two year,24,No,No internet service,No internet service,21.1,Credit card (automatic),Yes,No
Two year,70,No,No internet service,No internet service,20.05,Credit card (automatic),No,No
Month-to-month,2,Fiber optic,No,No,79.95,Electronic check,Yes,No
One year,68,Fiber optic,No,Yes,107.15,Credit card (automatic),Yes,No
Month-to-month,1,Fiber optic,No,No,85.0,Electronic check,Yes,Yes
Month-to-month,12,Fiber optic,No,No,89.55,Electronic check,Yes,No
Month-to-month,63,Fiber optic,No,No,81.55,Bank transfer (automatic),Yes,No
One year,33,DSL,Yes,No,58.45,Mailed check,Yes,No
One year,69,Fiber optic,No,No,95.65,Credit card (automatic),Yes,No
Two year,60,DSL,No,Yes,80.6,Bank transfer (automatic),Yes,No
Two year,72,Fiber optic,Yes,Yes,113.1,Bank transfer (automatic),Yes,No
Month-to-month,11,DSL,No,No,58.95,Mailed check,Yes,No
Month-to-month,1,No,No internet service,No internet service,19.55,Mailed check,No,No
Month-to-month,10,Fiber optic,No,No,86.05,Bank transfer (automatic),Yes,Yes
Month-to-month,13,DSL,Yes,Yes,45.55,Credit card (automatic),Yes,Yes
One year,34,Fiber optic,No,No,78.95,Bank transfer (automatic),Yes,No
Month-to-month,39,Fiber optic,No,No,86.3,Mailed check,Yes,Yes
One year,65,Fiber optic,No,Yes,105.05,Bank transfer (automatic),Yes,No
One year,50,Fiber optic,Yes,No,101.9,Bank transfer (automatic),Yes,No
Month-to-month,15,No,No internet service,No internet service,19.75,Mailed check,No,No
Two year,72,Fiber optic,Yes,No,110.3,Bank transfer (automatic),Yes,No
Two year,72,Fiber optic,Yes,Yes,115.6,Bank transfer (automatic),Yes,No
Two year,55,No,No internet service,No internet service,19.35,Bank transfer (automatic),No,No
Two year,23,No,No internet service,No internet service,25.6,Credit card (automatic),Yes,No
Month-to-month,32,Fiber optic,No,No,80.35,Bank transfer (automatic),Yes,Yes
One year,56,DSL,Yes,No,68.75,Bank transfer (automatic),Yes,No
Month-to-month,1,No,No internet service,No internet service,19.9,Bank transfer (automatic),No,No
One year,38,DSL,Yes,Yes,70.6,Mailed check,No,No
Month-to-month,11,Fiber optic,No,No,70.2,Electronic check,No,No
Month-to-month,1,DSL,No,Yes,49.3,Electronic check,Yes,No
One year,56,Fiber optic,No,Yes,107.25,Electronic check,Yes,No
Month-to-month,3,No,No internet service,No internet service,23.6,Mailed check,Yes,No
Month-to-month,7,DSL,Yes,No,69.7,Credit card (automatic),No,No
Two year,59,Fiber optic,No,No,99.5,Credit card (automatic),Yes,No
Month-to-month,7,DSL,No,Yes,64.3,Bank transfer (automatic),No,No
Two year,71,DSL,Yes,Yes,70.85,Credit card (automatic),Yes,No
One year,15,Fiber optic,Yes,Yes,101.9,Electronic check,No,No
Two year,71,DSL,Yes,Yes,73.5,Credit card (automatic),No,No
Month-to-month,35,Fiber optic,No,No,100.25,Electronic check,Yes,Yes
One year,11,DSL,No,Yes,40.4,Credit card (automatic),Yes,No
Two year,60,No,No internet service,No internet service,19.25,Credit card (automatic),Yes,No
Two year,47,DSL,No,Yes,59.6,Bank transfer (automatic),No,No
One year,11,DSL,No,Yes,64.9,Credit card (automatic),No,No
One year,56,Fiber optic,No,No,100.3,Credit card (automatic),No,Yes
Month-to-month,28,Fiber optic,No,Yes,110.85,Electronic check,Yes,No
Two year,61,DSL,Yes,Yes,81.05,Mailed check,Yes,No
One year,31,Fiber optic,Yes,No,98.05,Bank transfer (automatic),No,No
Month-to-month,9,Fiber optic,No,No,70.5,Electronic check,Yes,No
Month-to-month,35,Fiber optic,Yes,No,94.55,Electronic check,Yes,No
Month-to-month,2,No,No internet service,No internet service,19.65,Mailed check,Yes,No
Month-to-month,12,No,No internet service,No internet service,19.0,Mailed check,No,Yes
Month-to-month,1,Fiber optic,Yes,No,75.3,Mailed check,No,Yes
Month-to-month,4,Fiber optic,No,No,89.2,Electronic check,Yes,Yes
Month-to-month,1,No,No internet service,No internet service,19.0,Mailed check,Yes,No
Month-to-month,3,No,No internet service,No internet service,20.0,Mailed check,Yes,No
Month-to-month,1,Fiber optic,No,No,85.7,Electronic check,Yes,Yes
Two year,52,DSL,Yes,No,63.25,Credit card (automatic),Yes,No
One year,5,No,No internet service,No internet service,20.1,Mailed check,No,No
Two year,72,Fiber optic,Yes,No,99.15,Electronic check,Yes,No
Two year,71,DSL,Yes,Yes,90.4,Electronic check,No,No
Two year,72,Fiber optic,Yes,Yes,111.9,Credit card (automatic),Yes,No
One year,46,No,No internet service,No internet service,24.9,Electronic check,No,No
Two year,63,DSL,Yes,No,83.5,Credit card (automatic),No,No
Month-to-month,30,Fiber optic,Yes,No,84.3,Credit card (automatic),Yes,No
Month-to-month,1,DSL,No,No,45.6,Mailed check,No,No
Month-to-month,12,DSL,Yes,Yes,61.65,Mailed check,Yes,Yes
Two year,16,DSL,Yes,Yes,54.85,Mailed check,No,No
Month-to-month,4,DSL,No,Yes,65.55,Mailed check,No,No
One year,51,Fiber optic,No,No,90.35,Credit card (automatic),Yes,No
Two year,65,No,No internet service,No internet service,20.4,Credit card (automatic),Yes,No
Month-to-month,16,Fiber optic,No,Yes,74.55,Credit card (automatic),Yes,No
One year,2,No,No internet service,No internet service,19.95,Mailed check,No,No
One year,66,Fiber optic,No,No,74.25,Bank transfer (automatic),Yes,No
Two year,46,Fiber optic,No,Yes,108.65,Electronic check,No,No
One year,32,Fiber optic,Yes,Yes,109.55,Bank transfer (automatic),Yes,No
Two year,72,DSL,Yes,Yes,86.65,Credit card (automatic),No,No
Two year,38,DSL,Yes,Yes,81.0,Credit card (automatic),No,No
One year,51,DSL,No,Yes,47.85,Credit card (automatic),No,No
Two year,72,Fiber optic,Yes,Yes,114.55,Bank transfer (automatic),No,No
Month-to-month,65,Fiber optic,Yes,No,105.25,Bank transfer (automatic),No,Yes
Month-to-month,9,DSL,No,No,29.95,Electronic check,Yes,Yes
Month-to-month,9,DSL,Yes,Yes,65.0,Mailed check,No,Yes
Two year,66,No,No internet service,No internet service,20.55,Mailed check,No,No
One year,44,Fiber optic,Yes,No,109.8,Credit card (automatic),Yes,No
Two year,50,DSL,No,Yes,69.5,Bank transfer (automatic),No,No
Month-to-month,15,DSL,No,No,48.85,Mailed check,No,No
Month-to-month,8,DSL,No,No,25.25,Credit card (automatic),Yes,No
One year,66,Fiber optic,No,Yes,102.85,Credit card (automatic),Yes,No
Month-to-month,57,Fiber optic,Yes,Yes,87.55,Bank transfer (automatic),Yes,No
Month-to-month,7,Fiber optic,No,No,78.55,Bank transfer (automatic),Yes,No
Month-to-month,10,DSL,No,No,34.55,Bank transfer (automatic),Yes,No
One year,62,Fiber optic,Yes,No,92.05,Electronic check,Yes,No
One year,40,Fiber optic,No,No,85.05,Electronic check,Yes,No
Two year,20,No,No internet service,No internet service,19.7,Mailed check,No,No
Month-to-month,7,No,No internet service,No internet service,20.0,Bank transfer (automatic),No,Yes
Month-to-month,25,Fiber optic,No,Yes,95.15,Electronic check,Yes,No
Month-to-month,23,Fiber optic,No,No,84.25,Electronic check,No,No
One year,66,Fiber optic,No,No,104.6,Credit card (automatic),No,No
Two year,72,Fiber optic,No,Yes,111.65,Electronic check,No,No
Month-to-month,49,Fiber optic,No,No,90.05,Credit card (automatic),No,Yes
Month-to-month,43,Fiber optic,No,Yes,110.75,Bank transfer (automatic),Yes,Yes
Month-to-month,46,DSL,Yes,No,55.0,Bank transfer (automatic),No,No
Two year,72,DSL,Yes,Yes,89.85,Credit card (automatic),No,No
One year,10,No,No internet service,No internet service,20.35,Mailed check,No,No
One year,40,DSL,Yes,Yes,54.55,Bank transfer (automatic),Yes,No
Month-to-month,65,Fiber optic,No,No,105.5,Electronic check,Yes,Yes
Two year,31,Fiber optic,No,Yes,99.45,Bank transfer (automatic),No,No
Two year,68,DSL,Yes,Yes,70.9,Credit card (automatic),No,No
One year,56,Fiber optic,Yes,No,104.55,Bank transfer (automatic),Yes,Yes
Month-to-month,10,Fiber optic,No,No,85.25,Electronic check,Yes,Yes
Two year,68,No,No internet service,No internet service,25.4,Bank transfer (automatic),No,No
Month-to-month,43,DSL,No,No,56.15,Electronic check,No,Yes
Month-to-month,1,Fiber optic,No,No,89.55,Electronic check,Yes,Yes
One year,49,Fiber optic,No,No,89.85,Bank transfer (automatic),Yes,No
Month-to-month,15,No,No internet service,No internet service,25.25,Electronic check,Yes,No
Month-to-month,20,Fiber optic,No,No,94.55,Electronic check,Yes,Yes
Month-to-month,1,DSL,No,No,45.7,Mailed check,Yes,Yes
One year,50,DSL,No,Yes,69.65,Electronic check,Yes,No
Month-to-month,2,Fiber optic,No,No,89.5,Electronic check,No,Yes
Month-to-month,24,Fiber optic,No,No,70.0,Credit card (automatic),No,No
Month-to-month,3,Fiber optic,No,No,69.55,Bank transfer (automatic),Yes,Yes
Month-to-month,1,Fiber optic,No,No,74.6,Mailed check,Yes,Yes
Two year,35,No,No internet service,No internet service,20.1,Mailed check,No,No
Month-to-month,17,No,No internet service,No internet service,24.8,Mailed check,No,No
Month-to-month,8,No,No internet service,No internet service,19.65,Electronic check,No,Yes
Month-to-month,10,Fiber optic,No,Yes,95.1,Credit card (automatic),Yes,No
Two year,68,DSL,Yes,Yes,88.85,Credit card (automatic),Yes,No
One year,45,DSL,Yes,No,78.8,Bank transfer (automatic),No,No
One year,2,No,No internet service,No internet service,19.85,Mailed check,No,Yes
Month-to-month,37,No,No internet service,No internet service,20.35,Bank transfer (automatic),No,No
Month-to-month,4,DSL,No,No,24.25,Mailed check,Yes,Yes
